Sexo,Edades,Grupo etario ,Municipio ,Región,Etnía ,Migrante,Fecha desaparición,Día de la semana,Horario ,Estatus,Fecha localización,Tiempo desap,Rango tiempo,Fuente,Sistematización,,
Mujer,14,12 a 17,"Villaflores, Chiapas ",Frailesca,Indígena,No aplica,1/25/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,1/27/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,4,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,1/28/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,9,6 a 11,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,1/29/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,1/30/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,11,6 a 11,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,1/30/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,14,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Indígena,No aplica,1/31/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,2/2/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/2/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,11,6 a 11,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/2/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,16,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Mestiza,No aplica,2/4/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Palenque, Chiapas ",Maya,Mestiza,No aplica,2/4/2020,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/5/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,1,0 a 5,"Cintalapa, Chiapas ",Valle Zoque,Mestiza,No aplica,2/6/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Cintalapa, Chiapas ",Valle Zoque,Mestiza,No aplica,2/6/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/6/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/7/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Cacahoatán, Chiapas",Soconusco,Mestiza,No aplica,2/10/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,14,12 a 17,"Cacahoatán, Chiapas",Soconusco,Mestiza,No aplica,2/10/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,14,12 a 17,"Cacahoatán, Chiapas",Soconusco,Mestiza,No aplica,2/10/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,12,12 a 17,"Las Margaritas, Chiapas ",Meseta Comiteca,Mestiza,No aplica,2/12/2020,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,2/12/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/12/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,Berriozábal Chiapas,Metropolitana,Mestiza,No aplica,2/16/2020,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,16,12 a 17,"El Parral, chiapas ",Frailesca,Indígena,No aplica,2/16/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/16/2020,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/16/2020,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,12,12 a 17,"Las Margaritas, Chiapas ",Meseta Comiteca,Mestiza,No aplica,2/18/2020,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/18/2020,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,2/19/2020,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Indígena,No aplica,2/19/2020,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,14,12 a 17,"Metapa de Dominguez, Chiapas",Soconusco,Mestiza,No aplica,2/20/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,CEJUM Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,2/21/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/21/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,8,6 a 11,"Venustiano Carranza, Chiapas ",De los llanos,Indígena,No aplica,2/21/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Villa Comaltitán, Chiapas ",Soconusco,Mestiza,No aplica,2/21/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tapachula, Chiapas ",Soconusco,Indígena,No aplica,2/22/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,CEJUM Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Indígena,No aplica,2/23/2020,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,12,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,2/23/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Protocolo Alba ,Melel Xojobal,,
Hombre,11,6 a 11,"Ocosingo, Chiapas ",Selva Lacandona,Mestiza,No aplica,2/25/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,Reporte Ciudadano   ,Melel Xojobal,,
Mujer,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/29/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
