Sexo,Edades,Grupo etario ,Municipio ,Región,Etnía ,Migrante,Fecha desaparición,Día de la semana,Horario ,Estatus,Fecha localización,Tiempo desap,Rango tiempo,Fuente,Sistematización,,
Hombre,17,12 a 17,"Tuzantán, Chiapas ",Soconusco,Mestiza,No aplica,2/8/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,2,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/14/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,1,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/14/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,15,12 a 17,"La Trinitaria, Chiapas",Meseta Comiteca,Indígena,No aplica,2/15/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Reforma, Chiapas ",Norte,Mestiza,No aplica,2/15/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/16/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Indígena,No aplica,2/17/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/17/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/18/2021,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/19/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,2/20/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/20/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,11,6 a 11,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,2/22/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/22/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,2/23/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,2,0 a 5,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,2/23/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,1,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/24/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Cacahoatán, Chiapas",Soconusco,Mestiza,No aplica,2/26/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Indígena,No aplica,2/26/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Chico, Chiapas ",Soconusco,Mestiza,No aplica,2/26/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,1,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,2/26/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/1/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,Berriozábal Chiapas,Metropolitana,Mestiza,No aplica,3/2/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tapachula, Chiapas ",Soconusco,Indígena,No aplica,3/3/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,1,0 a 5,"Chiapa de Corzo, Chiapas ",Metropolitana,Indígena,No aplica,3/4/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,13,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Indígena,No aplica,3/4/2021,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Ostuacán, Chiapas ",Norte,Indígena,No aplica,3/4/2021,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Pichucalco, Chiapas ",Norte,Indígena,No aplica,3/5/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,4,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/5/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,Mestiza,No aplica,3/6/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/6/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/6/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/7/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,16,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/8/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/9/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,8,6 a 11,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/10/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,6,6 a 11,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/10/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/10/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,11,6 a 11,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/10/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/11/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/11/2021,Jueves,No especificado,Localizada,5/19/2022,434.00,De 12 a 15 meses,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Chiapa de Corzo, Chiapas ",Metropolitana,Indígena,No aplica,3/12/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,1,0 a 5,"Chiapa de Corzo, Chiapas ",Metropolitana,Indígena,No aplica,3/12/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/12/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,3,0 a 5,"Chilón, Chiapas ",Tulijá,Mestiza,No aplica,3/13/2021,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,17,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,3/13/2021,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,17,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Mestiza,No aplica,3/13/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Villaflores, Chiapas",Frailesca,Mestiza,No aplica,3/13/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Indígena,No aplica,3/14/2021,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Arriaga, Chiapas ",Istmo-Costa,Mestiza,No aplica,3/15/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,13,12 a 17,"Pichucalco, Chiapas ",Norte,Mestiza,No aplica,3/15/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,8,6 a 11,"Pichucalco, Chiapas ",Norte,Mestiza,No aplica,3/15/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,8,6 a 11,"Pichucalco, Chiapas ",Norte,Mestiza,No aplica,3/15/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tecpatán, Chiapas ",Mezcalapa,Mestiza,No aplica,3/16/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,4,0 a 5,"Tumbalá, Chiapas ",Tulijá,Mestiza,No aplica,3/16/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,Indígena,No aplica,3/18/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Chiapa de Corzo, Chiapas ",Metropolitana,Indígena,No aplica,3/21/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/22/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,2,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/22/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Escuintla, Chiapas ",Soconusco,Mestiza,No aplica,3/23/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,17,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Indígena,No aplica,3/23/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Reforma, Chiapas ",Norte,Indígena,No aplica,3/23/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,3,0 a 5,"Tapachula, Chiapas ",Soconusco,Indígena,No aplica,3/23/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tapachula, Chiapas ",Soconusco,Indígena,No aplica,3/23/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/23/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Pichucalco, Chiapas ",Norte,Indígena,No aplica,3/24/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,3/26/2021,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Huixtla, Chiapas ",Soconusco,Mestiza,No aplica,3/26/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,Mestiza,No aplica,3/26/2021,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/26/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Oxchuc, Chiapas ",Altos,Indígena,No aplica,3/27/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/28/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Escuintla, Chiapas ",Soconusco,Mestiza,No aplica,3/31/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/31/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Acapetahua, Chiapas ",Soconusco,Mestiza,No aplica,4/1/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,11,6 a 11,"San Cristóbal de Las Casas, Chiapas ",Altos,Indígena,No aplica,4/1/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/1/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/1/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,1,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/1/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Chico, Chiapas ",Soconusco,Indígena,No aplica,4/1/2021,Jueves,No especificado,Localizada,5/25/2022,419.00,De 12 a 15 meses,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/3/2021,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tapachula, Chiapas ",Soconusco,Indígena,No especificado,4/4/2021,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,6,6 a 11,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/4/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/4/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Mapastepec, Chiapas ",Istmo-Costa,Mestiza,No aplica,4/6/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,5,0 a 5,"San Cristóbal de Las Casas, Chiapas ",Altos,Mestiza,No aplica,4/6/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/6/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,1,0 a 5,"Teopisca, Chiapas ",Altos,Mestiza,No aplica,4/6/2021,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,14,12 a 17,"Juaréz, Chiapas ",Norte,Indígena,No aplica,4/7/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,6,6 a 11,"Mezcalapa, Chiapas",Mezcalapa,Indígena,No aplica,4/7/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,4,0 a 5,"Mezcalapa, Chiapas",Mezcalapa,Indígena,No aplica,4/7/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/8/2021,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Ocozocoautla de Espinosa, Chiapas",Valle Zoque,Indígena,No aplica,4/10/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Reforma, Chiapas ",Norte,Mestiza,No aplica,4/10/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/10/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Chilón, Chiapas ",Tulijá,Indígena,No aplica,4/11/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tuzantán, Chiapas ",Soconusco,Mestiza,No aplica,4/11/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Indígena,No aplica,4/12/2021,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Pijijiapan, Chiapas ",Istmo-Costa,Indígena,No aplica,4/12/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/13/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/13/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/14/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,16,12 a 17,"Cacahoatán, Chiapas",Soconusco,Mestiza,No aplica,4/15/2021,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,5,0 a 5,"Tapachula, Chiapas ",Soconusco,Mestiza,No especificado,4/16/2021,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/16/2021,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/17/2021,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"El Parral, Chiapas ",Frailesca,Indígena,No aplica,4/18/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Indígena,No aplica,4/18/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/18/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Frontera Comalapa, Chiapas ",Sierra Mariscal,Indígena,No aplica,4/19/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Suchiapa, Chiapas ",Metropolitana,Indígena,No aplica,4/19/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/19/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,4,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/19/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No especificado,4/19/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,1,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/19/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,Berriozábal Chiapas,Metropolitana,Mestiza,No aplica,4/20/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,2,0 a 5,"San Cristóbal de Las Casas, Chiapas ",Altos,Mestiza,No aplica,4/20/2021,Martes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,16,12 a 17,Comitan de Dominguez ,Meseta Comiteca,Mestiza,No aplica,4/21/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,4,0 a 5,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/21/2021,Miércoles,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/21/2021,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,2,0 a 5,"Ixtapa, Chiapas ",De los bosques,Mestiza,No aplica,4/23/2021,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/23/2021,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/24/2021,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Hombre,4,0 a 5,"Copainalá, Chiapas ",Mezcalapa,Indígena,No aplica,4/25/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Copainalá, Chiapas ",Mezcalapa,Indígena,No aplica,4/25/2021,Domingo,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Huehuetán, Chiapas ",Sierra Mariscal,Mestiza,No aplica,4/26/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Ocosingo, Chiapas ",Selva Lacandona,Indígena,No aplica,4/26/2021,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
